	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	ph
10278.T2.B7.20	29001.0	933	1.0	1	3.0	2	4.1
10278.T2.B7.20	74.0	31	0.0	0	74.0	31	4.1
10278.T2.B7.5	66442.0	1323	3.0	3	0.0	0	4.53
10278.T2.B7.5	88.0	9	88.0	9	88.0	9	4.53
10278.T2.B7.5	28215.0	1520	2.0	2	8.0	1	4.53
10278.T2.B7.5	90.0	31	0.0	0	90.0	31	4.53
10278.T2.B9.20	83751.0	760	2.0	2	2.0	2	4.41
10278.T2.B9.20	9.0	4	9.0	4	9.0	4	4.41
10278.T2.B9.20	79.0	29	0.0	0	79.0	29	4.41
10278.T2.B9.5	64119.0	1002	5.0	2	1.0	1	4.47
10278.T2.B9.5	33.0	9	33.0	9	33.0	9	4.47
10278.T2.B9.5	70.0	37	0.0	0	70.0	37	4.47
10278.T2.F1.20	82283.0	3357	9.0	4	14.0	3	6.19
10278.T2.F1.20	8.0	8	8.0	8	8.0	8	6.19
10278.T2.F1.20	35276.0	3476	2.0	1	9.0	5	6.19
10278.T2.F1.20	54.0	51	0.0	0	54.0	51	6.19
10278.T2.F1.5	71431.0	3998	9.0	3	15.0	5	6.34
10278.T2.F1.5	9.0	9	9.0	9	9.0	9	6.34
10278.T2.F1.5	30712.0	3968	3.0	3	7.0	5	6.34
10278.T2.F1.5	46.0	42	0.0	0	46.0	42	6.34
10278.T2.F2.20	59740.0	2506	1.0	1	7.0	3	6.16
10278.T2.F2.20	7.0	7	7.0	7	7.0	7	6.16
10278.T2.F2.20	24768.0	2566	0.0	0	2.0	2	6.16
10278.T2.F2.20	55.0	38	0.0	0	55.0	38	6.16
10278.T2.F2.5	89134.0	3955	2.0	2	12.0	6	6.2
10278.T2.F2.5	9.0	9	9.0	9	9.0	9	6.2
10278.T2.F2.5	36853.0	3806	0.0	0	3.0	2	6.2
10278.T2.F2.5	63.0	46	0.0	0	63.0	46	6.2
10278.T2.F6.20	57457.0	2279	3.0	3	12.0	5	6.29
10278.T2.F6.20	13.0	11	13.0	11	13.0	11	6.29
10278.T2.F6.20	25775.0	2395	0.0	0	4.0	3	6.29
10278.T2.F6.20	89.0	62	0.0	0	89.0	62	6.29
10278.T2.F6.5	84532.0	4157	9.0	4	36.0	7	6.37
10278.T2.F6.5	6.0	6	6.0	6	6.0	6	6.37
10278.T2.F6.5	35649.0	4015	1.0	1	12.0	5	6.37
10278.T2.F6.5	61.0	53	0.0	0	61.0	53	6.37
10278.T2.F7.20	64805.0	2611	6.0	2	10.0	4	6.15
10278.T2.F7.20	12.0	11	12.0	11	12.0	11	6.15
10278.T2.F7.20	28364.0	2688	2.0	2	3.0	3	6.15
10278.T2.F7.20	142.0	94	0.0	0	142.0	94	6.15
10278.T2.F7.5	72951.0	3952	3.0	2	9.0	5	6.63
10278.T2.F7.5	14.0	11	14.0	11	14.0	11	6.63
10278.T2.F7.5	32147.0	3868	1.0	1	7.0	6	6.63
10278.T2.F7.5	57.0	51	0.0	0	57.0	51	6.63
10278.T2.F8.20	75714.0	2832	7.0	4	10.0	4	6.12
10278.T2.F8.20	3.0	3	3.0	3	3.0	3	6.12
10278.T2.F8.20	32133.0	2958	2.0	2	6.0	3	6.12
10278.T2.F8.20	100.0	71	0.0	0	100.0	71	6.12
10278.T2.F8.5	88914.0	4107	2.0	2	29.0	5	6.26
10278.T2.F8.5	12.0	8	12.0	8	12.0	8	6.26
10278.T2.F8.5	36555.0	4026	0.0	0	9.0	5	6.26
10278.T2.F8.5	67.0	57	0.0	0	67.0	57	6.26
10278.T2.F9.20	65613.0	2842	1.0	1	7.0	4	6.58
10278.T2.F9.20	26719.0	2883	1.0	1	6.0	5	6.58
10278.T2.F9.5	78689.0	3851	10.0	7	25.0	6	6.67
10278.T2.F9.5	3.0	3	3.0	3	3.0	3	6.67
10278.T2.F9.5	33883.0	3817	1.0	1	12.0	5	6.67
10278.T2.F9.5	47.0	40	0.0	0	47.0	40	6.67
10278.T3.B1.20	133797.0	978	9.0	4	1.0	1	4.29
10278.T3.B1.20	9.0	5	9.0	5	9.0	5	4.29
10278.T3.B1.20	53546.0	1081	1.0	1	1.0	1	4.29
10278.T3.B1.20	92.0	32	0.0	0	92.0	32	4.29
10278.T3.B1.5	106761.0	1725	9.0	4	0.0	0	4.0
10278.T3.B1.5	62.0	5	62.0	5	62.0	5	4.0
10278.T3.B1.5	57.0	31	0.0	0	57.0	31	4.0
10278.T3.B2.20	9.0	7	9.0	7	9.0	7	4.13
10278.T3.B2.20	33920.0	868	0.0	0	2.0	2	4.13
10278.T3.B2.20	85.0	32	0.0	0	85.0	32	4.13
10278.T3.B2.5	90987.0	803	8.0	3	10.0	3	4.04
10278.T3.B2.5	3.0	3	3.0	3	3.0	3	4.04
10278.T3.B2.5	38527.0	1118	2.0	2	222.0	3	4.04
10278.T3.B2.5	27.0	16	0.0	0	27.0	16	4.04
10278.T3.B4.20	107055.0	681	2.0	2	3.0	3	4.47
10278.T3.B4.20	14.0	5	14.0	5	14.0	5	4.47
10278.T3.B4.20	42527.0	791	0.0	0	2.0	2	4.47
10278.T3.B4.20	97.0	33	0.0	0	97.0	33	4.47
10278.T3.B4.5	97172.0	1553	7.0	2	0.0	0	4.55
10278.T3.B4.5	47.0	9	47.0	9	47.0	9	4.55
10278.T3.B4.5	41076.0	1783	3.0	2	0.0	0	4.55
10278.T3.B4.5	106.0	49	0.0	0	106.0	49	4.55
10278.T3.B6.20	85884.0	778	1.0	1	3.0	2	4.02
10278.T3.B6.20	12.0	9	12.0	9	12.0	9	4.02
10278.T3.B6.20	34319.0	942	0.0	0	3.0	3	4.02
10278.T3.B6.20	72.0	30	0.0	0	72.0	30	4.02
10278.T3.B6.5	185116.0	1657	2.0	2	29.0	4	4.19
10278.T3.B6.5	16.0	12	16.0	12	16.0	12	4.19
10278.T3.B6.5	77396.0	1985	1.0	1	30.0	5	4.19
10278.T3.B6.5	62.0	42	0.0	0	62.0	42	4.19
10278.T3.B7.20	80842.0	728	0.0	0	2.0	2	4.37
10278.T3.B7.20	6.0	5	6.0	5	6.0	5	4.37
10278.T3.B7.20	33577.0	866	0.0	0	3.0	2	4.37
10278.T3.B7.20	61.0	26	0.0	0	61.0	26	4.37
10278.T3.B7.5	103950.0	1636	9.0	4	3.0	3	4.61
10278.T3.B7.5	62.0	12	62.0	12	62.0	12	4.61
10278.T3.B7.5	44897.0	1777	2.0	1	6.0	3	4.61
10278.T3.B7.5	86.0	47	0.0	0	86.0	47	4.61
10278.T3.B9.20	82718.0	824	5.0	3	1.0	1	4.27
10278.T3.B9.20	8.0	7	8.0	7	8.0	7	4.27
10278.T3.B9.20	34626.0	985	0.0	0	2.0	2	4.27
10278.T3.B9.20	61.0	34	0.0	0	61.0	34	4.27
10278.T3.B9.5	177787.0	1332	12.0	4	2.0	2	4.62
10278.T3.B9.5	11.0	7	11.0	7	11.0	7	4.62
10278.T3.B9.5	76133.0	1613	5.0	4	1.0	1	4.62
10278.T3.B9.5	120.0	54	0.0	0	120.0	54	4.62
10278.T3.F1.20	55523.0	2573	3.0	1	10.0	4	6.06
10278.T3.F1.20	15.0	10	15.0	10	15.0	10	6.06
10278.T3.F1.20	23555.0	2613	0.0	0	4.0	3	6.06
10278.T3.F1.20	80.0	65	0.0	0	80.0	65	6.06
10278.T3.F1.5	84881.0	4223	7.0	6	17.0	5	6.11
10278.T3.F1.5	16.0	15	16.0	15	16.0	15	6.11
10278.T3.F1.5	34962.0	4103	2.0	2	8.0	4	6.11
10278.T3.F1.5	72.0	56	0.0	0	72.0	56	6.11
10278.T3.F2.20	52213.0	2226	1.0	1	6.0	4	6.21
10278.T3.F2.20	6.0	6	6.0	6	6.0	6	6.21
10278.T3.F2.20	22558.0	2340	1.0	1	2.0	2	6.21
10278.T3.F2.20	58.0	42	0.0	0	58.0	42	6.21
10278.T3.F2.5	55284.0	3618	4.0	4	15.0	4	6.27
10278.T3.F2.5	12.0	9	12.0	9	12.0	9	6.27
10278.T3.F2.5	23388.0	3374	1.0	1	9.0	7	6.27
10278.T3.F2.5	54.0	47	0.0	0	54.0	47	6.27
10278.T3.F6.20	51596.0	2331	6.0	3	6.0	4	6.31
10278.T3.F6.20	8.0	7	8.0	7	8.0	7	6.31
10278.T3.F6.20	23473.0	2445	1.0	1	1.0	1	6.31
10278.T3.F6.20	110.0	64	0.0	0	110.0	64	6.31
10278.T3.F6.5	11776.0	775	1.0	1	0.0	0	6.4
10278.T3.F6.5	11.0	9	11.0	9	11.0	9	6.4
10278.T3.F6.5	5083.0	773	1.0	1	0.0	0	6.4
10278.T3.F6.5	81.0	66	0.0	0	81.0	66	6.4
10278.T3.F7.20	89278.0	2886	62.0	4	14.0	4	6.31
10278.T3.F7.20	8.0	8	8.0	8	8.0	8	6.31
10278.T3.F7.20	37833.0	3148	12.0	2	5.0	3	6.31
10278.T3.F7.20	84.0	68	0.0	0	84.0	68	6.31
10278.T3.F7.5	70351.0	3833	3.0	1	11.0	4	6.55
10278.T3.F7.5	6.0	3	6.0	3	6.0	3	6.55
10278.T3.F7.5	30018.0	3739	0.0	0	8.0	4	6.55
10278.T3.F7.5	34.0	30	0.0	0	34.0	30	6.55
10278.T3.F8.20	58948.0	2467	1.0	1	13.0	4	6.11
10278.T3.F8.20	7.0	7	7.0	7	7.0	7	6.11
10278.T3.F8.20	25913.0	2602	1.0	1	3.0	2	6.11
10278.T3.F8.20	91.0	65	0.0	0	91.0	65	6.11
10278.T3.F8.5	63998.0	3873	3.0	2	32.0	8	5.96
10278.T3.F8.5	5.0	5	5.0	5	5.0	5	5.96
10278.T3.F8.5	27392.0	3729	0.0	0	14.0	10	5.96
10278.T3.F8.5	33.0	28	0.0	0	33.0	28	5.96
10278.T3.F9.20	67121.0	2803	5.0	2	18.0	7	6.56
10278.T3.F9.20	12.0	10	12.0	10	12.0	10	6.56
10278.T3.F9.20	28763.0	2890	5.0	3	7.0	5	6.56
10278.T3.F9.20	96.0	69	0.0	0	96.0	69	6.56
10278.T3.F9.5	46365.0	3083	1.0	1	10.0	5	6.43
10278.T3.F9.5	19239.0	2971	0.0	0	5.0	5	6.43
10278.T3.F9.5	68.0	63	0.0	0	68.0	63	6.43
10278.T4.B1.20	139406.0	949	7.0	4	2.0	1	3.86
10278.T4.B1.20	7.0	4	7.0	4	7.0	4	3.86
10278.T4.B1.20	55813.0	1082	4.0	3	2.0	2	3.86
10278.T4.B1.20	87.0	37	0.0	0	87.0	37	3.86
10278.T4.B1.5	67086.0	1367	5.0	3	1.0	1	4.36
10278.T4.B1.5	8.0	5	8.0	5	8.0	5	4.36
10278.T4.B1.5	28958.0	1567	3.0	3	1.0	1	4.36
10278.T4.B1.5	49.0	25	0.0	0	49.0	25	4.36
10278.T4.B2.20	80446.0	757	1.0	1	0.0	0	3.97
10278.T4.B2.20	6.0	6	6.0	6	6.0	6	3.97
10278.T4.B2.20	49.0	22	0.0	0	49.0	22	3.97
10278.T4.B2.5	72777.0	1236	1.0	1	4.0	1	4.38
10278.T4.B2.5	17.0	11	17.0	11	17.0	11	4.38
10278.T4.B2.5	30672.0	1336	0.0	0	46.0	2	4.38
10278.T4.B2.5	35.0	24	0.0	0	35.0	24	4.38
10278.T4.B4.20	84662.0	627	2.0	1	4.0	3	3.75
10278.T4.B4.20	11.0	8	11.0	8	11.0	8	3.75
10278.T4.B4.20	33170.0	777	1.0	1	0.0	0	3.75
10278.T4.B4.20	77.0	27	0.0	0	77.0	27	3.75
10278.T4.B4.5	7.0	5	7.0	5	7.0	5	4.05
10278.T4.B4.5	67.0	40	0.0	0	67.0	40	4.05
10278.T4.B6.20	59124.0	675	0.0	0	1.0	1	4.27
10278.T4.B6.20	11.0	9	11.0	9	11.0	9	4.27
10278.T4.B6.20	23823.0	823	0.0	0	14.0	3	4.27
10278.T4.B6.20	75.0	32	0.0	0	75.0	32	4.27
10278.T4.B6.5	95333.0	1452	7.0	2	1.0	1	4.02
10278.T4.B6.5	9.0	4	9.0	4	9.0	4	4.02
10278.T4.B6.5	39920.0	1674	2.0	1	5.0	2	4.02
10278.T4.B6.5	34.0	22	0.0	0	34.0	22	4.02
10278.T4.B7.20	125735.0	757	2.0	2	4.0	3	3.81
10278.T4.B7.20	2.0	2	2.0	2	2.0	2	3.81
10278.T4.B7.20	52100.0	913	0.0	0	1.0	1	3.81
10278.T4.B7.20	62.0	23	0.0	0	62.0	23	3.81
10278.T4.B7.5	121110.0	1598	3.0	2	6.0	3	4.04
10278.T4.B7.5	36.0	6	36.0	6	36.0	6	4.04
10278.T4.B7.5	53636.0	1886	3.0	3	2.0	1	4.04
10278.T4.B7.5	61.0	38	0.0	0	61.0	38	4.04
10278.T4.B9.20	105696.0	810	6.0	4	1.0	1	4.06
10278.T4.B9.20	10.0	8	10.0	8	10.0	8	4.06
10278.T4.B9.20	44679.0	948	3.0	3	1.0	1	4.06
10278.T4.B9.20	76.0	27	0.0	0	76.0	27	4.06
10278.T4.B9.5	116028.0	1107	2.0	2	0.0	0	4.31
10278.T4.B9.5	16.0	9	16.0	9	16.0	9	4.31
10278.T4.B9.5	51009.0	1335	1.0	1	1.0	1	4.31
10278.T4.B9.5	105.0	46	0.0	0	105.0	46	4.31
10278.T4.F1.20	86101.0	3391	5.0	4	8.0	5	5.84
10278.T4.F1.20	3.0	2	3.0	2	3.0	2	5.84
10278.T4.F1.20	36007.0	3528	1.0	1	8.0	7	5.84
10278.T4.F1.20	36.0	32	0.0	0	36.0	32	5.84
10278.T4.F1.5	36436.0	3289	0.0	0	8.0	4	6.33
10278.T4.F1.5	2.0	2	2.0	2	2.0	2	6.33
10278.T4.F1.5	15659.0	2936	0.0	0	1.0	1	6.33
10278.T4.F1.5	29.0	26	0.0	0	29.0	26	6.33
10278.T4.F2.20	63197.0	2680	3.0	2	9.0	4	5.79
10278.T4.F2.20	8.0	8	8.0	8	8.0	8	5.79
10278.T4.F2.20	27040.0	2782	1.0	1	1.0	1	5.79
10278.T4.F2.20	29.0	26	0.0	0	29.0	26	5.79
10278.T4.F2.5	87018.0	3915	3.0	2	62.0	5	5.82
10278.T4.F2.5	10.0	8	10.0	8	10.0	8	5.82
10278.T4.F2.5	37555.0	4042	4.0	1	29.0	11	5.82
10278.T4.F2.5	56.0	49	0.0	0	56.0	49	5.82
10278.T4.F6.20	109675.0	2683	4.0	2	44.0	6	6.17
10278.T4.F6.20	23.0	20	23.0	20	23.0	20	6.17
10278.T4.F6.20	49703.0	3012	3.0	3	20.0	5	6.17
10278.T4.F6.20	95.0	61	0.0	0	95.0	61	6.17
10278.T4.F6.5	134061.0	4535	11.0	4	25.0	9	6.13
10278.T4.F6.5	13.0	12	13.0	12	13.0	12	6.13
10278.T4.F6.5	54638.0	4616	4.0	3	5.0	3	6.13
10278.T4.F6.5	116.0	85	0.0	0	116.0	85	6.13
10278.T4.F7.20	90299.0	2971	13.0	5	20.0	5	6.04
10278.T4.F7.20	11.0	8	11.0	8	11.0	8	6.04
10278.T4.F7.20	39204.0	3121	6.0	3	7.0	3	6.04
10278.T4.F7.20	112.0	74	0.0	0	112.0	74	6.04
10278.T4.F7.5	68650.0	3915	3.0	2	44.0	8	6.63
10278.T4.F7.5	5.0	4	5.0	4	5.0	4	6.63
10278.T4.F7.5	29716.0	3808	1.0	1	18.0	5	6.63
10278.T4.F7.5	39.0	37	0.0	0	39.0	37	6.63
10278.T4.F8.20	94564.0	2757	5.0	2	12.0	6	5.96
10278.T4.F8.20	14.0	10	14.0	10	14.0	10	5.96
10278.T4.F8.20	40190.0	3006	3.0	2	3.0	3	5.96
10278.T4.F8.20	125.0	86	0.0	0	125.0	86	5.96
10278.T4.F8.5	2.0	2	1.0	1	0.0	0	5.74
10278.T4.F8.5	6.0	4	6.0	4	6.0	4	5.74
10278.T4.F8.5	92.0	70	0.0	0	92.0	70	5.74
10278.T4.F9.20	38985.0	1678	0.0	0	12.0	7	6.44
10278.T4.F9.20	8.0	8	8.0	8	8.0	8	6.44
10278.T4.F9.20	17469.0	1744	0.0	0	6.0	4	6.44
10278.T4.F9.20	99.0	62	0.0	0	99.0	62	6.44
10278.T4.F9.5	102712.0	4481	4.0	2	42.0	6	6.36
10278.T4.F9.5	10.0	10	10.0	10	10.0	10	6.36
10278.T4.F9.5	42159.0	4465	1.0	1	17.0	5	6.36
10278.T4.F9.5	75.0	59	1.0	1	75.0	59	6.36
10278.T5.B1.20	136097.0	1024	13.0	3	0.0	0	3.79
10278.T5.B1.20	5.0	4	5.0	4	5.0	4	3.79
10278.T5.B1.20	54146.0	1108	2.0	1	3.0	3	3.79
10278.T5.B1.20	47.0	21	0.0	0	47.0	21	3.79
10278.T5.B1.5	82187.0	1377	6.0	2	0.0	0	4.07
10278.T5.B1.5	20.0	5	20.0	5	20.0	5	4.07
10278.T5.B1.5	36334.0	1717	4.0	3	0.0	0	4.07
10278.T5.B1.5	49.0	32	0.0	0	49.0	32	4.07
10278.T5.B2.20	133019.0	943	5.0	2	2.0	2	3.99
10278.T5.B2.20	3.0	3	3.0	3	3.0	3	3.99
10278.T5.B2.20	53676.0	1152	1.0	1	1.0	1	3.99
10278.T5.B2.20	34.0	22	0.0	0	34.0	22	3.99
10278.T5.B2.5	96558.0	1576	7.0	2	2.0	2	3.78
10278.T5.B2.5	6.0	5	6.0	5	6.0	5	3.78
10278.T5.B2.5	41613.0	1829	3.0	3	0.0	0	3.78
10278.T5.B2.5	28.0	22	0.0	0	28.0	22	3.78
10278.T5.B4.20	85468.0	665	1.0	1	0.0	0	4.3
10278.T5.B4.20	37.0	17	0.0	0	37.0	17	4.3
10278.T5.B4.5	84804.0	1561	2.0	1	1.0	1	4.27
10278.T5.B4.5	22.0	7	22.0	7	22.0	7	4.27
10278.T5.B4.5	36000.0	1768	1.0	1	1.0	1	4.27
10278.T5.B4.5	52.0	32	0.0	0	52.0	32	4.27
10278.T5.B6.20	126406.0	945	9.0	4	2.0	2	4.25
10278.T5.B6.20	7.0	6	7.0	6	7.0	6	4.25
10278.T5.B6.20	50600.0	1123	0.0	0	3.0	2	4.25
10278.T5.B6.20	36.0	16	0.0	0	36.0	16	4.25
10278.T5.B6.5	83916.0	1284	0.0	0	1.0	1	4.3
10278.T5.B6.5	17.0	14	17.0	14	17.0	14	4.3
10278.T5.B6.5	35587.0	1473	1.0	1	2.0	2	4.3
10278.T5.B6.5	79.0	54	0.0	0	79.0	54	4.3
10278.T5.B7.20	129604.0	881	4.0	3	1.0	1	4.32
10278.T5.B7.20	6.0	5	6.0	5	6.0	5	4.32
10278.T5.B7.20	69.0	26	0.0	0	69.0	26	4.32
10278.T5.B7.5	88183.0	1400	2.0	2	2.0	1	4.48
10278.T5.B7.5	28.0	11	28.0	11	28.0	11	4.48
10278.T5.B7.5	38927.0	1607	0.0	0	6.0	4	4.48
10278.T5.B7.5	63.0	43	0.0	0	63.0	43	4.48
10278.T5.B9.20	125078.0	741	2.0	2	0.0	0	4.19
10278.T5.B9.20	5.0	4	5.0	4	5.0	4	4.19
10278.T5.B9.20	70.0	25	0.0	0	70.0	25	4.19
10278.T5.B9.5	118537.0	1340	6.0	2	5.0	2	4.51
10278.T5.B9.5	9.0	8	9.0	8	9.0	8	4.51
10278.T5.B9.5	49775.0	1569	1.0	1	2.0	2	4.51
10278.T5.B9.5	89.0	52	0.0	0	89.0	52	4.51
10278.T5.F1.20	71163.0	3064	0.0	0	10.0	5	6.2
10278.T5.F1.20	1.0	1	1.0	1	1.0	1	6.2
10278.T5.F1.20	29516.0	3091	0.0	0	6.0	5	6.2
10278.T5.F1.20	52.0	45	0.0	0	52.0	45	6.2
10278.T5.F1.5	75655.0	4104	2.0	1	17.0	5	6.42
10278.T5.F1.5	1.0	1	1.0	1	1.0	1	6.42
10278.T5.F1.5	31413.0	3920	0.0	0	11.0	4	6.42
10278.T5.F1.5	69.0	59	0.0	0	69.0	59	6.42
10278.T5.F2.20	118852.0	2961	3.0	2	18.0	3	5.78
10278.T5.F2.20	5.0	5	5.0	5	5.0	5	5.78
10278.T5.F2.20	51511.0	3215	1.0	1	13.0	8	5.78
10278.T5.F2.20	37.0	35	0.0	0	37.0	35	5.78
10278.T5.F2.5	103416.0	4493	11.0	4	42.0	9	6.11
10278.T5.F2.5	11.0	10	11.0	10	11.0	10	6.11
10278.T5.F2.5	44384.0	4456	5.0	4	20.0	8	6.11
10278.T5.F2.5	76.0	70	0.0	0	76.0	70	6.11
10278.T5.F6.20	127896.0	3078	0.0	0	41.0	5	6.23
10278.T5.F6.20	7.0	6	7.0	6	7.0	6	6.23
10278.T5.F6.20	54771.0	3414	0.0	0	21.0	6	6.23
10278.T5.F6.20	75.0	55	0.0	0	75.0	55	6.23
10278.T5.F6.5	110956.0	4051	8.0	3	12.0	8	6.39
10278.T5.F6.5	3.0	3	3.0	3	3.0	3	6.39
10278.T5.F6.5	47027.0	4174	2.0	2	6.0	5	6.39
10278.T5.F6.5	44.0	41	0.0	0	44.0	41	6.39
10278.T5.F7.20	112191.0	3242	8.0	3	9.0	5	6.21
10278.T5.F7.20	9.0	8	9.0	8	9.0	8	6.21
10278.T5.F7.20	48627.0	3531	2.0	2	8.0	6	6.21
10278.T5.F7.20	54.0	42	0.0	0	54.0	42	6.21
10278.T5.F7.5	111550.0	4375	3.0	2	72.0	6	6.58
10278.T5.F7.5	8.0	7	8.0	7	8.0	7	6.58
10278.T5.F7.5	46039.0	4380	1.0	1	34.0	8	6.58
10278.T5.F7.5	82.0	66	0.0	0	82.0	66	6.58
10278.T5.F8.20	83601.0	2593	3.0	3	6.0	3	6.0
10278.T5.F8.20	9.0	8	9.0	8	9.0	8	6.0
10278.T5.F8.20	36730.0	2871	0.0	0	2.0	2	6.0
10278.T5.F8.20	101.0	76	0.0	0	101.0	76	6.0
10278.T5.F8.5	87968.0	3328	8.0	4	11.0	5	6.01
10278.T5.F8.5	5.0	5	5.0	5	5.0	5	6.01
10278.T5.F8.5	36833.0	3473	0.0	0	5.0	5	6.01
10278.T5.F8.5	56.0	43	0.0	0	56.0	43	6.01
10278.T5.F9.20	74888.0	2467	0.0	0	12.0	7	6.49
10278.T5.F9.20	7.0	4	7.0	4	7.0	4	6.49
10278.T5.F9.20	33442.0	2543	0.0	0	8.0	5	6.49
10278.T5.F9.20	52.0	37	0.0	0	52.0	37	6.49
10278.T5.F9.5	126059.0	4539	15.0	5	37.0	8	6.56
10278.T5.F9.5	6.0	5	6.0	5	6.0	5	6.56
10278.T5.F9.5	52625.0	4589	5.0	4	15.0	6	6.56
10278.T5.F9.5	41.0	35	0.0	0	41.0	35	6.56
10278.T6.B1.20	133096.0	980	4.0	3	3.0	1	4.03
10278.T6.B1.20	8.0	6	8.0	6	8.0	6	4.03
10278.T6.B1.20	53253.0	1142	0.0	0	1.0	1	4.03
10278.T6.B1.20	94.0	36	0.0	0	94.0	36	4.03
10278.T6.B1.5	77909.0	1376	3.0	2	1.0	1	4.29
10278.T6.B1.5	47.0	6	47.0	6	47.0	6	4.29
10278.T6.B1.5	33596.0	1611	2.0	2	0.0	0	4.29
10278.T6.B1.5	63.0	30	0.0	0	63.0	30	4.29
10278.T6.B2.20	133214.0	1228	8.0	3	5.0	2	4.0
10278.T6.B2.20	8.0	4	8.0	4	8.0	4	4.0
10278.T6.B2.20	54017.0	1362	3.0	3	1.0	1	4.0
10278.T6.B2.20	59.0	29	0.0	0	59.0	29	4.0
10278.T6.B2.5	73415.0	1365	4.0	3	4.0	2	4.54
10278.T6.B2.5	6.0	5	6.0	5	6.0	5	4.54
10278.T6.B2.5	31442.0	1585	1.0	1	2.0	2	4.54
10278.T6.B2.5	32.0	28	0.0	0	32.0	28	4.54
10278.T6.B4.20	90459.0	980	8.0	3	1.0	1	4.41
10278.T6.B4.20	20.0	5	20.0	5	20.0	5	4.41
10278.T6.B4.20	35825.0	1009	2.0	1	9.0	1	4.41
10278.T6.B4.20	48.0	20	0.0	0	48.0	20	4.41
10278.T6.B4.5	132526.0	1705	6.0	3	2.0	1	4.3
10278.T6.B4.5	25.0	10	25.0	10	25.0	10	4.3
10278.T6.B4.5	55087.0	1991	2.0	2	1.0	1	4.3
10278.T6.B4.5	53.0	36	0.0	0	53.0	36	4.3
10278.T6.B6.20	96207.0	799	1.0	1	2.0	2	3.98
10278.T6.B6.20	3.0	2	3.0	2	3.0	2	3.98
10278.T6.B6.20	39275.0	987	1.0	1	0.0	0	3.98
10278.T6.B6.20	56.0	27	0.0	0	56.0	27	3.98
10278.T6.B6.5	120866.0	1462	13.0	2	0.0	0	4.2
10278.T6.B6.5	8.0	6	8.0	6	8.0	6	4.2
10278.T6.B6.5	49138.0	1749	1.0	1	0.0	0	4.2
10278.T6.B6.5	59.0	39	0.0	0	59.0	39	4.2
10278.T6.B7.20	180703.0	874	2.0	1	3.0	2	4.21
10278.T6.B7.20	7.0	6	7.0	6	7.0	6	4.21
10278.T6.B7.20	72776.0	1124	1.0	1	1.0	1	4.21
10278.T6.B7.20	89.0	32	0.0	0	89.0	32	4.21
10278.T6.B7.5	85286.0	1336	2.0	2	2.0	2	4.14
10278.T6.B7.5	38.0	13	38.0	13	38.0	13	4.14
10278.T6.B7.5	38320.0	1581	1.0	1	1.0	1	4.14
10278.T6.B7.5	91.0	51	0.0	0	91.0	51	4.14
10278.T6.B9.20	138967.0	764	42.0	4	2.0	2	4.27
10278.T6.B9.20	4.0	3	4.0	3	4.0	3	4.27
10278.T6.B9.20	56916.0	919	1.0	1	1.0	1	4.27
10278.T6.B9.20	64.0	23	0.0	0	64.0	23	4.27
10278.T6.B9.5	88221.0	1406	5.0	2	7.0	4	4.06
10278.T6.B9.5	36.0	7	36.0	7	36.0	7	4.06
10278.T6.B9.5	36703.0	1607	2.0	1	6.0	3	4.06
10278.T6.B9.5	64.0	33	0.0	0	64.0	33	4.06
10278.T6.F1.20	102971.0	3573	12.0	6	13.0	6	5.9
10278.T6.F1.20	7.0	6	7.0	6	7.0	6	5.9
10278.T6.F1.20	41116.0	3673	4.0	4	2.0	1	5.9
10278.T6.F1.20	62.0	56	0.0	0	62.0	56	5.9
10278.T6.F1.5	91122.0	4434	8.0	4	10.0	2	6.45
10278.T6.F1.5	2.0	2	2.0	2	2.0	2	6.45
10278.T6.F1.5	37485.0	4349	2.0	2	6.0	4	6.45
10278.T6.F1.5	51.0	45	0.0	0	51.0	45	6.45
10278.T6.F2.20	104130.0	3162	7.0	3	16.0	6	5.91
10278.T6.F2.20	9.0	8	9.0	8	9.0	8	5.91
10278.T6.F2.20	45619.0	3348	1.0	1	5.0	4	5.91
10278.T6.F2.20	58.0	48	0.0	0	58.0	48	5.91
10278.T6.F2.5	162394.0	4248	10.0	3	58.0	8	6.1
10278.T6.F2.5	4.0	3	4.0	3	4.0	3	6.1
10278.T6.F2.5	68954.0	4584	2.0	2	23.0	9	6.1
10278.T6.F2.5	40.0	35	0.0	0	40.0	35	6.1
10278.T6.F6.20	82401.0	2563	0.0	0	30.0	6	5.85
10278.T6.F6.20	9.0	9	9.0	9	9.0	9	5.85
10278.T6.F6.20	35702.0	2718	1.0	1	12.0	6	5.85
10278.T6.F6.20	69.0	59	0.0	0	69.0	59	5.85
10278.T6.F6.5	136933.0	4419	13.0	4	24.0	5	5.83
10278.T6.F6.5	6.0	5	6.0	5	6.0	5	5.83
10278.T6.F6.5	57273.0	4581	2.0	2	14.0	11	5.83
10278.T6.F6.5	94.0	70	0.0	0	94.0	70	5.83
10278.T6.F7.20	148089.0	3863	14.0	3	18.0	4	5.75
10278.T6.F7.20	8.0	8	8.0	8	8.0	8	5.75
10278.T6.F7.20	61808.0	4183	5.0	3	8.0	4	5.75
10278.T6.F7.20	35.0	25	0.0	0	35.0	25	5.75
10278.T6.F7.5	174510.0	5082	20.0	3	127.0	12	6.19
